Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2293805;Yegyi;Yegyi;Yegyi,Yeji,Yɛgyi,ieji,yjy,یجی,イェジ;P;PPL;GH;Ghana;;14;720;;;30311;;103;Africa/Accra;2023-12-01;Ghana;8.22542, -0.64889
2294034;Winneba;Winneba;Simpa,Vinnebe,Winneba,Winnebah,Виннебе;P;PPL;GH;Ghana;;04;207;;;71288;;25;Africa/Accra;2023-12-01;Ghana;5.35113, -0.62313
2294727;Techiman;Techiman;Takyiman,Techiman,Tekyiman,Tekyiman-Brong;P;PPLA;GH;Ghana;;14;715;;;84074;;419;Africa/Accra;2023-12-01;Ghana;7.59054, -1.93947
2298205;Mankesim;Mankesim;Mankesim,Mankessim,manksym,mnqsym,מנקסים,مانكسيم;P;PPL;GH;Ghana;;04;204;;;41541;;21;Africa/Accra;2023-12-01;Ghana;5.2717, -1.0152
2305677;Aflao;Aflao;Aflahu,Aflao,Afloa,Dano,Porura;P;PPL;GH;Ghana;;08;403;;;66546;;9;Africa/Accra;2019-12-06;Ghana;6.11982, 1.19012
2294308;Twifu Praso;Twifu Praso;Twifu Praso;P;PPL;GH;Ghana;;04;215;;;100851;;72;Africa/Accra;2024-10-06;Ghana;5.61411, -1.5502
2301464;Duayaw-Nkwanta;Duayaw-Nkwanta;Duayaw-Nkwanta,Nkwanta;P;PPL;GH;Ghana;;12;707;;;17000;;329;Africa/Accra;2019-12-08;Ghana;7.17487, -2.09961
2303236;Begoro;Begoro;Begoro;P;PPL;GH;Ghana;;05;512;;;29516;;460;Africa/Accra;2019-12-06;Ghana;6.38706, -0.37738
2305164;Akim Swedru;Akim Swedru;Akim Swedru;P;PPLA2;GH;Ghana;;05;501;;;10000;;140;Africa/Accra;2019-12-05;Ghana;5.8938, -1.01636
2306119;Aburi;Aburi;Aburi;P;PPL;GH;Ghana;;05;523;;;18399;;447;Africa/Accra;2019-12-06;Ghana;5.84802, -0.17449
